-idInter,lotEtape,resTypeProdEcs,-risque,-solution
1,ecs,*,Etanchéité à l'air,"Vérifiez que l'entreprise prévoie l'utilisation d'accessoires adaptés pour le traitement de l'étanchéité à l'air des pénétrations liées aux réseaux (œillets, adhésifs, mastic…). "
2,ecs,*,Confort & surconsommation,Demandez à l'entreprise de mettre en place des dispositifs de réduction de consommation d'eau chaude (réducteur de débit par exemple).
