-idInter,lotEtape,lotTraiteApres,resTypeProdEcs,apres_resTypeProdEcs,resTypeProd,-niveau,-risque,-solution,-numFicheAdeme
1,chauffage,ecs,*,connectChaufAppointSol,*,risqNiv2,Changement système de chauffage / ECS solaire,"Si vous changez le système de chauffage, opter pour une solution avec ballon tampon, qui pourra être complété ou remplacé par un ballon solaire ultérieurement. Source : P2E. 2020. « Guide technique ». <a href=""https://www.experience-p2e.org/ressources/guide-technique-p2e/"" target=_blank> Exp. P2E.</a>",
2,"ecs,chauffage",*,"connectChauf,connectChaufAppointSol",*,"reseauChaleur,pacDoubleSrv,chaudiereBiomasse",,Confort & surconsommation,Vérifiez que le devis comprend l’équilibrage du réseau d’eau chaude sanitaire ,
