id,zoneClim,moi,>=alt,<alt,inertieLourde,DH19,Nref19,E,Text,Tefs
83,H2d,11,0,400,non,"6851,3",683,"87,35","8,9","14,1"
84,H2d,12,0,400,non,"15639,4",744,"85,07",5,"9,4"
85,H3,1,0,400,non,"9264,6",744,"92,47","5,9","8,4"
86,H3,2,0,400,non,"6041,6",664,"91,37","9,4","11,7"
87,H3,3,0,400,non,"6118,4",715,"109,83","10,2","11,4"
88,H3,4,0,400,non,"3445,8",586,"111,07","13,8",12
89,H3,5,0,400,non,0,0,0,0,"17,2"
90,H3,6,0,400,non,0,0,0,0,"20,7"
91,H3,7,0,400,non,0,0,0,0,"21,4"
92,H3,8,0,400,non,0,0,0,0,"25,4"
93,H3,9,0,400,non,0,0,0,0,20
94,H3,10,0,400,non,"911,8",120,"4,98","10,9","19,8"
95,H3,11,0,400,non,"6044,6",690,"85,22",10,"14,7"
96,H3,12,0,400,non,"7659,1",739,75,"7,6","12,1"
97,H1a,1,400,800,non,"13200,4",744,"38,36","0,6","5,8"
98,H1a,2,400,800,non,"11310,8",672,"37,47","1,5","3,5"
99,H1a,3,400,800,non,"9402,4",741,"77,61","5,7","4,9"
100,H1a,4,400,800,non,"7283,3",710,"86,79","8,3","7,1"
101,H1a,5,400,800,non,"4359,2",635,"87,83",13,"9,4"
102,H1a,6,400,800,non,2644,514,"84,66","15,6","13,1"
103,H1a,7,400,800,non,"1025,7",216,"37,58","15,9","14,1"
104,H1a,8,400,800,non,"1095,6",233,"33,14","14,8","15,8"
105,H1a,9,400,800,non,"4046,6",621,"94,3","13,2","13,9"
106,H1a,10,400,800,non,"4977,9",683,"61,45","11,8","12,7"
107,H1a,11,400,800,non,"8298,6",720,"43,04","6,8","10,5"
108,H1a,12,400,800,non,"11061,3",744,"34,26",3,"7,2"
109,H1b,1,400,800,non,"11668,7",744,"31,13","2,7","4,9"
110,H1b,2,400,800,non,"10218,7",672,"45,92","3,2","4,1"
111,H1b,3,400,800,non,"9689,8",744,"61,88","5,3","4,4"
112,H1b,4,400,800,non,7285,700,"79,71","8,3","5,6"
113,H1b,5,400,800,non,"4759,3",631,"86,58","12,4","9,3"
114,H1b,6,400,800,non,"152,7",24,"1,39","11,6","12,9"
115,H1b,7,400,800,non,0,0,0,0,"14,9"
116,H1b,8,400,800,non,"588,9",95,"14,78","13,5","15,3"
117,H1b,9,400,800,non,"4119,6",658,"96,37","13,9","14,8"
118,H1b,10,400,800,non,"5278,8",603,"61,93","10,3","12,6"
119,H1b,11,400,800,non,"9913,8",720,"33,95","4,6","8,5"
120,H1b,12,400,800,non,"11940,5",744,"37,72","1,8","5,9"
121,H1c,1,400,800,non,"12341,2",744,"47,86","1,8","4,1"
122,H1c,2,400,800,non,"11034,3",672,"55,9","1,9","2,4"
123,H1c,3,400,800,non,"8843,1",743,"91,2","6,5","6,5"
124,H1c,4,400,800,non,"6396,5",680,"86,83","9,6",7
125,H1c,5,400,800,non,"3424,8",582,"81,59","14,6","12,1"
126,H1c,6,400,800,non,"2088,6",375,"68,95","14,2","13,7"
127,H1c,7,400,800,non,0,0,0,0,"16,2"
128,H1c,8,400,800,non,0,0,0,0,"16,8"
129,H1c,9,400,800,non,"1398,1",250,"41,47",15,16
130,H1c,10,400,800,non,"5280,4",652,"66,87","11,5","13,8"
131,H1c,11,400,800,non,"9154,2",718,"45,76","5,6","9,3"
132,H1c,12,400,800,non,"12372,4",744,"33,59","1,2","5,3"
133,H2a,1,400,800,non,"10795,3",744,"39,47","3,8","6,9"
134,H2a,2,400,800,non,"10746,9",672,"61,19","2,4","5,2"
135,H2a,3,400,800,non,"8719,6",741,"95,11","6,6","6,2"
136,H2a,4,400,800,non,"7309,9",712,"84,18","8,2","7,6"
137,H2a,5,400,800,non,"4964,6",706,"87,48","11,8","9,1"
138,H2a,6,400,800,non,"1396,7",231,"32,35","13,4","14,3"
139,H2a,7,400,800,non,0,0,0,0,"16,7"
140,H2a,8,400,800,non,0,0,0,0,"15,1"
141,H2a,9,400,800,non,"2390,1",346,"48,52","12,4","16,2"
142,H2a,10,400,800,non,"5770,5",736,"61,93","10,6","13,9"
143,H2a,11,400,800,non,7844,720,"63,38","7,4","11,3"
144,H2a,12,400,800,non,"10167,6",744,"41,26","4,2","8,5"
145,H2b,1,400,800,non,"10607,8",744,"32,4","4,1",7
146,H2b,2,400,800,non,"10847,7",672,"59,81","2,2","4,8"
147,H2b,3,400,800,non,"8657,9",741,"73,5","6,7","6,7"
148,H2b,4,400,800,non,"6967,5",704,"89,72","8,7","7,6"
149,H2b,5,400,800,non,"4732,4",644,"84,09","12,2","10,9"
150,H2b,6,400,800,non,"1309,3",227,"27,62","13,8","13,3"
151,H2b,7,400,800,non,0,0,0,0,"15,8"
152,H2b,8,400,800,non,0,0,0,0,16
153,H2b,9,400,800,non,"2056,2",311,"46,26",13,"16,1"
154,H2b,10,400,800,non,"5365,9",693,"87,26","11,4","13,5"
155,H2b,11,400,800,non,8822,719,"42,57","6,1","10,4"
156,H2b,12,400,800,non,10569,744,"27,5","3,6","7,2"
157,H2c,1,400,800,non,"11300,8",744,"40,4","3,1","7,8"
158,H2c,2,400,800,non,9225,672,"63,77","4,6","7,5"
159,H2c,3,400,800,non,"7919,8",726,"110,02","7,7","8,2"
160,H2c,4,400,800,non,"6225,4",685,"86,61","9,8","9,3"
161,H2c,5,400,800,non,"1748,7",259,"38,61","13,2","12,9"
162,H2c,6,400,800,non,0,0,0,0,"15,5"
163,H2c,7,400,800,non,0,0,0,0,"17,8"
164,H2c,8,400,800,non,0,0,0,0,"17,8"
165,H2c,9,400,800,non,"1887,2",272,"53,63","13,2","17,7"
166,H2c,10,400,800,non,"3962,5",617,"72,63","13,7","15,7"
167,H2c,11,400,800,non,"8128,7",709,"63,3","7,1",12
168,H2c,12,400,800,non,"11023,9",744,"38,16",3,"7,8"
169,H2d,1,400,800,non,"11520,5",742,"98,24","2,9","6,6"
170,H2d,2,400,800,non,"10257,2",672,"100,73","3,1","6,5"
171,H2d,3,400,800,non,"8257,8",721,"116,26","7,3","7,4"
172,H2d,4,400,800,non,"5355,9",607,"104,57","11,4","10,9"
173,H2d,5,400,800,non,"2038,1",277,34,"12,1","14,7"
174,H2d,6,400,800,non,0,0,0,0,16
175,H2d,7,400,800,non,0,0,0,0,"21,6"
176,H2d,8,400,800,non,0,0,0,0,"18,9"
177,H2d,9,400,800,non,0,0,0,0,"20,9"
178,H2d,10,400,800,non,"4000,2",597,"85,05","12,9","16,4"
179,H2d,11,400,800,non,"8239,6",704,"87,35","6,9","12,1"
180,H2d,12,400,800,non,"18255,9",744,"85,07",3,"7,4"
181,H3,1,400,800,non,"10752,6",744,"92,47","3,9","6,4"
